A[32]          B[32]         C
1100602710    1100602710    0
-1385560836    -272896582    1
-1385560836    -1385560836    0
-1490274502    -1065086508    1
-1490274502    -1490274502    0
914504157    1796069362    1
914504157    914504157    0
929820759    -833400335    0
929820759    929820759    0
-1364926275    -1402103028    0
-1364926275    -1364926275    0
-1554689927    86010644    1
-1554689927    -1554689927    0
1005247649    -1143681995    0
1005247649    1005247649    0
-150642685    1446559530    1
-150642685    -150642685    0
1260540843    405401459    0
1260540843    1260540843    0
-1434703620    -184718118    1
-1434703620    -1434703620    0
421742679    2084313517    1
421742679    421742679    0
-490888333    654821132    1
-490888333    -490888333    0
516892758    1634154392    1
516892758    516892758    0
280509671    2116139539    1
280509671    280509671    0
2053296371    -271131275    0
2053296371    2053296371    0
764884800    1395243521    1
764884800    764884800    0
-749397264    591570911    1
-749397264    -749397264    0
587607718    1298454550    1
587607718    587607718    0
-1950704839    -282864767    1
-1950704839    -1950704839    0
-419301301    1504367754    1
-419301301    -419301301    0
1399904554    608141346    0
1399904554    1399904554    0
-803616237    512322855    1
-803616237    -803616237    0
1901109976    470043673    0
1901109976    1901109976    0
-359525478    748033769    1
-359525478    -359525478    0
-847287718    843023697    1
-847287718    -847287718    0
-1241945194    27875191    1
-1241945194    -1241945194    0
992243952    1056395362    1
992243952    992243952    0
1132423230    -40548882    0
1132423230    1132423230    0
-920235365    209474944    1
-920235365    -920235365    0
-772744195    1258070206    1
-772744195    -772744195    0
-1235357433    140631456    1
-1235357433    -1235357433    0
1462786696    -1243422737    0
1462786696    1462786696    0
-1299825480    1123757148    1
-1299825480    -1299825480    0
1269192366    676418057    0
1269192366    1269192366    0
1284890373    -1900204395    0
1284890373    1284890373    0
790774600    -149520745    0
790774600    790774600    0
-411325583    -1371628840    0
-411325583    -411325583    0
2070539034    -1692315353    0
2070539034    2070539034    0
1251880647    -1352674312    0
1251880647    1251880647    0
1114314690    -1241296322    0
1114314690    1114314690    0
-1604185650    1303975769    1
-1604185650    -1604185650    0
-1929434128    1511628032    1
-1929434128    -1929434128    0
-1947503576    1346371126    1
-1947503576    -1947503576    0
-1067920395    -1729122802    0
-1067920395    -1067920395    0
-460205304    -209035593    1
-460205304    -460205304    0
1649550655    212689335    0
1649550655    1649550655    0
-909121658    1137474406    1
-909121658    -909121658    0
381681677    -1812313705    0
381681677    381681677    0
1185799086    -1713358739    0
1185799086    1185799086    0
-2140221366    65814636    1
-2140221366    -2140221366    0
-160678363    -772715336    0
-160678363    -160678363    0
2129736829    95096429    0
2129736829    2129736829    0
1954900263    -474860598    0
1954900263    1954900263    0
-1153508299    -549773034    1
-1153508299    -1153508299    0
1548530253    864225038    0
1548530253    1548530253    0
29796767    -688003716    0
29796767    29796767    0
-556266056    1872575815    1
-556266056    -556266056    0
-819824684    -1517888087    0
-819824684    -819824684    0
-1746817107    1449274477    1
-1746817107    -1746817107    0
-142518473    1003746647    1
-142518473    -142518473    0
139037005    -562871850    0
139037005    139037005    0
-1026637107    1295770873    1
-1026637107    -1026637107    0
811249304    -1860046853    0
811249304    811249304    0
705567289    2130071213    1
705567289    705567289    0
-1899422970    851374157    1
-1899422970    -1899422970    0
892310310    -424144840    0
892310310    892310310    0
-1687325389    870218262    1
-1687325389    -1687325389    0
-1276894438    -746571176    1
-1276894438    -1276894438    0
-2108868722    -1702817613    1
-2108868722    -2108868722    0
1392915239    -1209924048    0
1392915239    1392915239    0
1928128381    858200264    0
1928128381    1928128381    0
269012813    647192783    1
269012813    269012813    0
-1424695650    1624814201    1
-1424695650    -1424695650    0
1848532330    2041755888    1
1848532330    1848532330    0
-286679747    477308148    1
-286679747    -286679747    0
-195151579    -885585562    0
-195151579    -195151579    0
-1193281561    -700700110    1
-1193281561    -1193281561    0
16735880    1448472172    1
16735880    16735880    0
-2113830455    318610642    1
-2113830455    -2113830455    0
-1549125632    1606650071    1
-1549125632    -1549125632    0
-1393156074    782827536    1
-1393156074    -1393156074    0
-576207689    1992274160    1
-576207689    -576207689    0
1822305051    -1843326969    0
1822305051    1822305051    0
-444227697    1633886656    1
-444227697    -444227697    0
-2114313346    1049101023    1
-2114313346    -2114313346    0
-1621343906    -861787279    1
-1621343906    -1621343906    0
-1128401693    -427406232    1
-1128401693    -1128401693    0
1642840730    -1448912842    0
1642840730    1642840730    0
2018007787    -1986371295    0
2018007787    2018007787    0
-1257116495    687435957    1
-1257116495    -1257116495    0
1013119836    -183855612    0
1013119836    1013119836    0
-2014164198    342827    1
-2014164198    -2014164198    0
1245307513    -756173630    0
1245307513    1245307513    0
-995083302    1234479669    1
-995083302    -995083302    0
494408135    1841545606    1
494408135    494408135    0
-1802228000    -475557344    1
-1802228000    -1802228000    0
-2135528998    -1920725923    1
-2135528998    -2135528998    0
119926524    1932743354    1
119926524    119926524    0
615858369    1061237962    1
615858369    615858369    0
-1700274232    820711839    1
-1700274232    -1700274232    0
-747872593    -1388255527    0
-747872593    -747872593    0
-1019365544    -884812025    1
-1019365544    -1019365544    0
893901856    -1996668196    0
893901856    893901856    0
-123804336    1906904571    1
-123804336    -123804336    0
497798756    -1546172746    0
497798756    497798756    0
-1401089262    -954883546    1
-1401089262    -1401089262    0
-65885000    -1376403440    0
-65885000    -65885000    0
2099357162    1857603250    0
2099357162    2099357162    0
-333660891    -1082675950    0
-333660891    -333660891    0
-1120580258    1952063075    1
-1120580258    -1120580258    0
-1316085217    -1117552950    1
-1316085217    -1316085217    0
-1879929657    -542602017    1
-1879929657    -1879929657    0
2043300812    1206886326    0
2043300812    2043300812    0
-108592342    42276208    1
-108592342    -108592342    0
-1447737140    -931661074    1
-1447737140    -1447737140    0
-808622576    -788282094    1
-808622576    -808622576    0
382515614    -2133798521    0
382515614    382515614    0
-1421197329    852376424    1
-1421197329    -1421197329    0
593384772    900100329    1
593384772    593384772    0
174344035    1821277701    1
174344035    174344035    0
1994247368    -959639993    0
1994247368    1994247368    0
-2112353141    -2013715806    1
-2112353141    -2112353141    0
1736181957    -1215091810    0
1736181957    1736181957    0
613389518    888750952    1
613389518    613389518    0
1514182400    -806549698    0
1514182400    1514182400    0
-226287910    110398311    1
-226287910    -226287910    0
-894453556    -1740623773    0
-894453556    -894453556    0
-647860180    1915362900    1
-647860180    -647860180    0
1652860736    357253778    0
1652860736    1652860736    0
-1345282889    -611478791    1
-1345282889    -1345282889    0
-1078021986    620534335    1
-1078021986    -1078021986    0
-2116488811    -1848409403    1
-2116488811    -2116488811    0
1854490529    -675134324    0
1854490529    1854490529    0
-992074244    817416794    1
-992074244    -992074244    0
-114997008    1200703028    1
-114997008    -114997008    0
858322097    141475711    0
858322097    858322097    0
-1539831886    -1660316928    0
-1539831886    -1539831886    0
712626749    1524140664    1
712626749    712626749    0
-1230317511    -476234474    1
-1230317511    -1230317511    0
1266831082    1076650252    0
1266831082    1266831082    0
1010326148    1804790928    1
1010326148    1010326148    0
1359263619    1280830683    0
1359263619    1359263619    0
757835009    -910741988    0
757835009    757835009    0
860162517    956158880    1
860162517    860162517    0
499909823    523255150    1
499909823    499909823    0
-1749592496    440327040    1
-1749592496    -1749592496    0
1025038110    -1300492223    0
1025038110    1025038110    0
-972280247    903005731    1
-972280247    -972280247    0
-697018986    -1462281047    0
-697018986    -697018986    0
850765012    756075510    0
850765012    850765012    0
697477489    -307094691    0
697477489    697477489    0
1232048352    2126189627    1
1232048352    1232048352    0
1641580797    -1567254143    0
1641580797    1641580797    0
-1414073909    -1847496046    0
-1414073909    -1414073909    0
-1838143238    1697921487    1
-1838143238    -1838143238    0
-1165141936    1248629082    1
-1165141936    -1165141936    0
966822482    -1796861731    0
966822482    966822482    0
-1253462074    -443283814    1
-1253462074    -1253462074    0
396539543    1691299283    1
396539543    396539543    0
-1038691652    -2055617190    0
-1038691652    -1038691652    0
399747089    535264876    1
399747089    399747089    0
-633566417    568229526    1
-633566417    -633566417    0
-645188616    1541707740    1
-645188616    -645188616    0
1687035634    -1957624366    0
1687035634    1687035634    0
192674812    82202314    0
192674812    192674812    0
1768099006    1013106917    0
1768099006    1768099006    0
69293709    2131911142    1
69293709    69293709    0
-2112479286    36914397    1
-2112479286    -2112479286    0
58540055    901845589    1
58540055    58540055    0
539453729    -1808392512    0
539453729    539453729    0
528260003    -1286736305    0
528260003    528260003    0
1419258351    311073326    0
1419258351    1419258351    0
1470185745    63234465    0
1470185745    1470185745    0
339498727    755674701    1
339498727    339498727    0
-294652773    -1258951920    0
-294652773    -294652773    0
563686011    1161402890    1
563686011    563686011    0
-1928439934    931869833    1
-1928439934    -1928439934    0
2040734774    -1116665048    0
2040734774    2040734774    0
372197297    1896978089    1
372197297    372197297    0
1993954826    -123645843    0
1993954826    1993954826    0
-57892020    -1011581718    0
-57892020    -57892020    0
203048350    -1321274577    0
203048350    203048350    0
-602254427    1846591598    1
-602254427    -602254427    0
-305963397    1570119233    1
-305963397    -305963397    0
-1434990283    664502640    1
-1434990283    -1434990283    0
1919551675    1125889658    0
1919551675    1919551675    0
432634435    151440108    0
432634435    432634435    0
1012798237    336127213    0
1012798237    1012798237    0
-1585675233    -1201721060    1
-1585675233    -1585675233    0
1086674465    -92295953    0
1086674465    1086674465    0
-679469924    -1662790108    0
-679469924    -679469924    0
-1864833586    -764535    1
-1864833586    -1864833586    0
-436612463    2130967483    1
-436612463    -436612463    0
1136622744    -1515002016    0
1136622744    1136622744    0
-218517175    538837427    1
-218517175    -218517175    0
1588703388    240958902    0
1588703388    1588703388    0
587945469    2065918439    1
587945469    587945469    0
1050170023    341924640    0
1050170023    1050170023    0
-964816026    290427481    1
-964816026    -964816026    0
-1373444532    1675561498    1
-1373444532    -1373444532    0
-245063732    1373125262    1
-245063732    -245063732    0
1797165756    -28937152    0
1797165756    1797165756    0
1437055385    -865588892    0
1437055385    1437055385    0
111125242    -1746075696    0
111125242    111125242    0
1941996844    -1946153140    0
1941996844    1941996844    0
-682939647    1830176780    1
-682939647    -682939647    0
-691773908    746571912    1
-691773908    -691773908    0
-212740208    -41072052    1
-212740208    -212740208    0
-1332998740    671949550    1
-1332998740    -1332998740    0
1513167412    193234615    0
1513167412    1513167412    0
-1783220520    1663948520    1
-1783220520    -1783220520    0
813845172    437714351    0
813845172    813845172    0
1596609141    1420044599    0
1596609141    1596609141    0
-2121165135    -286440859    1
-2121165135    -2121165135    0
-1856581380    -1407073860    1
-1856581380    -1856581380    0
1693257998    1169182534    0
1693257998    1693257998    0
1218410852    -170152728    0
1218410852    1218410852    0
95050204    -28264456    0
95050204    95050204    0
-1911194968    1678441397    1
-1911194968    -1911194968    0
1114944201    -1723988452    0
1114944201    1114944201    0
2001013412    -766184614    0
2001013412    2001013412    0
-2008892257    1676363085    1
-2008892257    -2008892257    0
193916016    -344105265    0
193916016    193916016    0
424737830    -1737031993    0
424737830    424737830    0
1221926465    1974372130    1
1221926465    1221926465    0
-1166810233    2144287988    1
-1166810233    -1166810233    0
-351857800    -412029621    0
-351857800    -351857800    0
-1160466596    -430755668    1
-1160466596    -1160466596    0
-574426144    71203939    1
-574426144    -574426144    0
-1057893782    126604124    1
-1057893782    -1057893782    0
-792663442    1804937566    1
-792663442    -792663442    0
-1901679324    -105403154    1
-1901679324    -1901679324    0
2035089213    -499495363    0
2035089213    2035089213    0
-1527278173    -438676398    1
-1527278173    -1527278173    0
1025841004    -92853094    0
1025841004    1025841004    0
-1689066925    150329556    1
-1689066925    -1689066925    0
-1557094814    -915981625    1
-1557094814    -1557094814    0
1771356437    -1871320857    0
1771356437    1771356437    0
976816586    686800710    0
976816586    976816586    0
361309160    -2009199038    0
361309160    361309160    0
-397082468    1405341742    1
-397082468    -397082468    0
2078184271    133196465    0
2078184271    2078184271    0
550769107    1330304879    1
550769107    550769107    0
491147943    -1859286011    0
491147943    491147943    0
699884012    -531179844    0
699884012    699884012    0
559189568    -373494510    0
559189568    559189568    0
40475797    -311806674    0
40475797    40475797    0
-1243317001    206178392    1
-1243317001    -1243317001    0
-327212337    -1429834622    0
-327212337    -327212337    0
-1536255358    1483387639    1
-1536255358    -1536255358    0
-1417497065    861918702    1
-1417497065    -1417497065    0
1720988609    239759160    0
1720988609    1720988609    0
1275519037    1342920885    1
1275519037    1275519037    0
1601272570    1887848217    1
1601272570    1601272570    0
-1316014064    -548339986    1
-1316014064    -1316014064    0
1418379364    -1305948794    0
1418379364    1418379364    0
-798084554    438417181    1
-798084554    -798084554    0
1392248641    1477568050    1
1392248641    1392248641    0
106522692    -2088362773    0
106522692    106522692    0
-195963234    2147372694    1
-195963234    -195963234    0
-493358415    -1292433199    0
-493358415    -493358415    0
1967512988    -98370566    0
1967512988    1967512988    0
-597161859    145631575    1
-597161859    -597161859    0
-875808932    -600875975    1
-875808932    -875808932    0
565719579    530358703    0
565719579    565719579    0
242381859    2046612960    1
242381859    242381859    0
34921138    1581902124    1
34921138    34921138    0
-1116558459    1013540745    1
-1116558459    -1116558459    0
-908452454    -1891003303    0
-908452454    -908452454    0
-919131196    1882325082    1
-919131196    -919131196    0
802441868    1474556015    1
802441868    802441868    0
-1923728672    962011287    1
-1923728672    -1923728672    0
957432377    -1668627957    0
957432377    957432377    0
-1421568673    -1481323518    0
-1421568673    -1421568673    0
1677923967    276675247    0
1677923967    1677923967    0
1857117252    -1776330452    0
1857117252    1857117252    0
1211434042    -92923527    0
1211434042    1211434042    0
1794768204    -1482635649    0
1794768204    1794768204    0
-1615085721    399344322    1
-1615085721    -1615085721    0
267640966    -1931018565    0
267640966    267640966    0
1172842673    930981696    0
1172842673    1172842673    0
-1694345548    -1048243460    1
-1694345548    -1694345548    0
1058765867    -620723585    0
1058765867    1058765867    0
262207049    827997217    1
262207049    262207049    0
-716084884    504256041    1
-716084884    -716084884    0
-609138451    1361748680    1
-609138451    -609138451    0
-1009609406    -449382516    1
-1009609406    -1009609406    0
-1776898541    -1308996349    1
-1776898541    -1776898541    0
2031223727    -917434252    0
2031223727    2031223727    0
-1458535499    1762881595    1
-1458535499    -1458535499    0
1280787476    -1779030025    0
1280787476    1280787476    0
1824001247    1607235251    0
1824001247    1824001247    0
-538647783    -1285004675    0
-538647783    -538647783    0
2112904636    -261315683    0
2112904636    2112904636    0
-1770277046    -1695649320    1
-1770277046    -1770277046    0
1306046743    -1902049852    0
1306046743    1306046743    0
1125609811    1584757375    1
1125609811    1125609811    0
1220040870    -1167777780    0
1220040870    1220040870    0
2003836835    -353129961    0
2003836835    2003836835    0
1922904674    1952135182    1
1922904674    1922904674    0
112567198    -1790581000    0
112567198    112567198    0
-1036611451    1677951618    1
-1036611451    -1036611451    0
791480071    909713349    1
791480071    791480071    0
464281765    1801386955    1
464281765    464281765    0
419293254    1093603400    1
419293254    419293254    0
1417623134    -1664417550    0
1417623134    1417623134    0
788458885    -272662769    0
788458885    788458885    0
1617813177    1255981340    0
1617813177    1617813177    0
1185583664    -831744045    0
1185583664    1185583664    0
859387849    -1743350905    0
859387849    859387849    0
-707740523    602274003    1
-707740523    -707740523    0
-940573572    -55294784    1
-940573572    -940573572    0
-913450003    -788268377    1
-913450003    -913450003    0
81577434    1385621105    1
81577434    81577434    0
251383020    -958951794    0
251383020    251383020    0
58530464    -1364788035    0
58530464    58530464    0
-982793584    381713520    1
-982793584    -982793584    0
1387109431    -239495148    0
1387109431    1387109431    0
568809117    -918002517    0
568809117    568809117    0
2031286512    1331326869    0
2031286512    2031286512    0
-1428700270    -232323675    1
-1428700270    -1428700270    0
1676211129    1377873851    0
1676211129    1676211129    0
1713698685    -641477078    0
1713698685    1713698685    0
-69493810    400135810    1
-69493810    -69493810    0
902958099    899914642    0
902958099    902958099    0
1985450159    -55098611    0
1985450159    1985450159    0
372852646    -1014130868    0
372852646    372852646    0
1125140663    774373291    0
1125140663    1125140663    0
-1818189310    -907937595    1
-1818189310    -1818189310    0
1054896778    1949207038    1
1054896778    1054896778    0
-505181055    899004254    1
-505181055    -505181055    0
10596829    -1557176844    0
10596829    10596829    0
1330256667    1700236991    1
1330256667    1330256667    0
-2020914984    417721351    1
-2020914984    -2020914984    0
-2129386322    -1954778949    1
-2129386322    -2129386322    0
1110754113    -603073906    0
1110754113    1110754113    0
-1747851775    -1744694890    1
-1747851775    -1747851775    0
1033750892    1738424625    1
1033750892    1033750892    0
1674955309    760615754    0
1674955309    1674955309    0
461023676    880029549    1
461023676    461023676    0
-2110166616    410021102    1
-2110166616    -2110166616    0
630336373    1133064621    1
630336373    630336373    0
1481185595    118536288    0
1481185595    1481185595    0
301544488    328915004    1
301544488    301544488    0
1305732813    1451052941    1
1305732813    1305732813    0
-603457397    1922929589    1
-603457397    -603457397    0
-944613896    -2032073719    0
-944613896    -944613896    0
1855600260    1455907123    0
1855600260    1855600260    0
153172112    -1158754101    0
153172112    153172112    0
2001422632    474472907    0
2001422632    2001422632    0
1033581540    -1083117356    0
1033581540    1033581540    0
-551559095    428576804    1
-551559095    -551559095    0
-1276001073    -69532629    1
-1276001073    -1276001073    0
1874709275    1095524403    0
1874709275    1874709275    0
-356541811    -1773447585    0
-356541811    -356541811    0
-1764430989    1153690674    1
-1764430989    -1764430989    0
-493963451    847873502    1
-493963451    -493963451    0
1310388884    -1878956631    0
1310388884    1310388884    0
-707114230    -81002720    1
-707114230    -707114230    0
-130700183    1750479408    1
-130700183    -130700183    0
1275954355    918661009    0
1275954355    1275954355    0
-2041151881    -1698520631    1
-2041151881    -2041151881    0
-1820827010    1190342504    1
-1820827010    -1820827010    0
1176053979    -653252370    0
1176053979    1176053979    0
1746651864    910627681    0
1746651864    1746651864    0
-2000532343    1404094368    1
-2000532343    -2000532343    0
1884897937    -1333350976    0
1884897937    1884897937    0
1734846220    -1730679792    0
1734846220    1734846220    0
554964898    1493112042    1
554964898    554964898    0
-322275220    -429784468    0
-322275220    -322275220    0
2063722503    1241122411    0
2063722503    2063722503    0
-11978840    1994230771    1
-11978840    -11978840    0
515731207    -1294959079    0
515731207    515731207    0
-498498336    -1488399302    0
-498498336    -498498336    0
1643122848    232784444    0
1643122848    1643122848    0
-1272421562    791327649    1
-1272421562    -1272421562    0
774901261    -1451272420    0
774901261    774901261    0
-1244788312    -1831839517    0
-1244788312    -1244788312    0
1163131763    1744496523    1
1163131763    1163131763    0
1878579024    2064566809    1
1878579024    1878579024    0
151534197    340673311    1
151534197    151534197    0
169731664    1040859369    1
169731664    169731664    0
426879362    -1443769899    0
426879362    426879362    0
1069111326    1450310198    1
1069111326    1069111326    0
-2052046931    -508332088    1
-2052046931    -2052046931    0
-1214992856    -1575336894    0
-1214992856    -1214992856    0
-218310914    -1569762400    0
-218310914    -218310914    0
-827632726    651981850    1
-827632726    -827632726    0
24673677    -1659869708    0
24673677    24673677    0
540809398    -1285009947    0
540809398    540809398    0
-826642936    1540128266    1
-826642936    -826642936    0
1936003867    998754168    0
1936003867    1936003867    0
245603118    1678086061    1
245603118    245603118    0
1496491311    -914256456    0
1496491311    1496491311    0
561802065    -1803394657    0
561802065    561802065    0
-2010538980    -1874371318    1
-2010538980    -2010538980    0
1805218662    821853549    0
1805218662    1805218662    0
671300046    31613370    0
671300046    671300046    0
-1885788416    2041055924    1
-1885788416    -1885788416    0
-1860531233    -1495131468    1
-1860531233    -1860531233    0
1579210718    733197759    0
1579210718    1579210718    0
156642669    894464960    1
156642669    156642669    0
-345625526    1528575868    1
-345625526    -345625526    0
2111484670    -1680242064    0
2111484670    2111484670    0
1812589177    -503028025    0
1812589177    1812589177    0
1256232915    2059410998    1
1256232915    1256232915    0
1985437754    332289792    0
1985437754    1985437754    0
1639376730    -45110231    0
1639376730    1639376730    0
1038146544    -1843119977    0
1038146544    1038146544    0
-775861577    -1690449042    0
-775861577    -775861577    0
-867319041    1541122313    1
-867319041    -867319041    0
676650896    1415383908    1
676650896    676650896    0
-630729760    1745542426    1
-630729760    -630729760    0
1021398793    132161454    0
1021398793    1021398793    0
525746205    1861829707    1
525746205    525746205    0
337332996    -1648291115    0
337332996    337332996    0
-4888462    -1154001852    0
-4888462    -4888462    0
1974307711    -1768033966    0
1974307711    1974307711    0
905864561    -850386197    0
905864561    905864561    0
190631468    -965427932    0
190631468    190631468    0
-848654204    -1450312357    0
-848654204    -848654204    0
-1836011394    -2133296035    0
-1836011394    -1836011394    0
1318790402    1324223338    1
1318790402    1318790402    0
-506773696    1320459517    1
-506773696    -506773696    0
-1543160001    -574276200    1
-1543160001    -1543160001    0
834992588    957822548    1
834992588    834992588    0
-837728008    159389549    1
-837728008    -837728008    0
-420436236    -431500343    0
-420436236    -420436236    0
727846665    1869611077    1
727846665    727846665    0
1029149241    451752425    0
1029149241    1029149241    0
-1279632494    -1701748223    0
-1279632494    -1279632494    0
-1800797097    -597518324    1
-1800797097    -1800797097    0
-64770264    2067047323    1
-64770264    -64770264    0
1006136331    -922579245    0
1006136331    1006136331    0
-307655741    309827706    1
-307655741    -307655741    0
1685158835    885263284    0
1685158835    1685158835    0
-2139830028    1467853227    1
-2139830028    -2139830028    0
-1011556741    971368760    1
-1011556741    -1011556741    0
-1642813945    1454509495    1
-1642813945    -1642813945    0
-924547198    -226148172    1
-924547198    -924547198    0
-1297396954    234008951    1
-1297396954    -1297396954    0
-115120028    -170190106    0
-115120028    -115120028    0
-511127107    322933471    1
-511127107    -511127107    0
143899634    -1865071776    0
143899634    143899634    0
1402793461    -595753635    0
1402793461    1402793461    0
312139601    498735930    1
312139601    312139601    0
-1704956503    -1081495063    1
-1704956503    -1704956503    0
-1283654805    -1718307218    0
-1283654805    -1283654805    0
424866599    -1164737676    0
424866599    424866599    0
1400490257    410467637    0
1400490257    1400490257    0
-360823461    14896708    1
-360823461    -360823461    0
-575819844    -1209802655    0
-575819844    -575819844    0
-1872915641    954128071    1
-1872915641    -1872915641    0
97979420    -431831720    0
97979420    97979420    0
-2029728896    -1904490654    1
-2029728896    -2029728896    0
-2070548306    14110898    1
-2070548306    -2070548306    0
-184594518    559184527    1
-184594518    -184594518    0
1452928196    -1897355850    0
1452928196    1452928196    0
1031688538    726451768    0
1031688538    1031688538    0
-2065248450    -1720872856    1
-2065248450    -2065248450    0
-607642322    -2114718288    0
-607642322    -607642322    0
2093303272    -1263602636    0
2093303272    2093303272    0
374044921    344548259    0
374044921    374044921    0
-870382095    -1740195784    0
-870382095    -870382095    0
1152856488    -47932737    0
1152856488    1152856488    0
1456949269    -1132112189    0
1456949269    1456949269    0
1210281993    55871530    0
1210281993    1210281993    0
852053990    -1086033499    0
852053990    852053990    0
1923461335    -1902862834    0
1923461335    1923461335    0
-934895682    -1917205301    0
-934895682    -934895682    0
1679770114    -317003306    0
1679770114    1679770114    0
-1792474737    -62181455    1
-1792474737    -1792474737    0
1670764818    -521726722    0
1670764818    1670764818    0
-206437783    -231251335    0
-206437783    -206437783    0
117855684    1226526774    1
117855684    117855684    0
1554062651    -567524248    0
1554062651    1554062651    0
-488683925    -1497181734    0
-488683925    -488683925    0
-1455013245    358961565    1
-1455013245    -1455013245    0
706828563    1518462767    1
706828563    706828563    0
-772708618    -1755989583    0
-772708618    -772708618    0
1269401751    -526788564    0
1269401751    1269401751    0
-646041655    1182641651    1
-646041655    -646041655    0
-2062213366    131538000    1
-2062213366    -2062213366    0
-1946587802    376764063    1
-1946587802    -1946587802    0
784267411    -1517164787    0
784267411    784267411    0
650359103    216847183    0
650359103    650359103    0
263791999    1645572142    1
263791999    263791999    0
-198462521    -831738018    0
-198462521    -198462521    0
-4802983    -1297402    1
-4802983    -4802983    0
-1426748634    -904500091    1
-1426748634    -1426748634    0
724042990    1367079946    1
724042990    724042990    0
1031682660    2146884076    1
1031682660    1031682660    0
-634758066    429300959    1
-634758066    -634758066    0
-1781688692    245884436    1
-1781688692    -1781688692    0
2063624865    -582640835    0
2063624865    2063624865    0
1438080234    182848470    0
1438080234    1438080234    0
-1375296573    -1271144060    1
-1375296573    -1375296573    0
-1575848976    1049222562    1
-1575848976    -1575848976    0
1685912512    -304291330    0
1685912512    1685912512    0
1362926747    2065651996    1
1362926747    1362926747    0
-930854314    -1677077955    0
-930854314    -930854314    0
1174640969    1789768019    1
1174640969    1174640969    0
-583100449    -757234514    0
-583100449    -583100449    0
163719071    -1151283923    0
163719071    163719071    0
1410209062    -1803066863    0
1410209062    1410209062    0
-1969709795    1601612691    1
-1969709795    -1969709795    0
-216810555    -496245086    0
-216810555    -216810555    0
-343263775    -1728735161    0
-343263775    -343263775    0
-10193537    -1539108165    0
-10193537    -10193537    0
657226506    -50475306    0
657226506    657226506    0
-389159214    1242890491    1
-389159214    -389159214    0
790963897    -331230841    0
790963897    790963897    0
1156958711    -2096500693    0
1156958711    1156958711    0
-378910120    1183934470    1
-378910120    -378910120    0
-814361254    -1695454888    0
-814361254    -814361254    0
101813521    -59764589    0
101813521    101813521    0
1726642093    1468168565    0
1726642093    1726642093    0
932767335    1485813634    1
932767335    932767335    0
1799879804    404351092    0
1799879804    1799879804    0
554304851    1815489384    1
554304851    554304851    0
1416955855    49347117    0
1416955855    1416955855    0
2074780812    317791478    0
2074780812    2074780812    0
-567441158    -6075154    1
-567441158    -567441158    0
2075237488    1660908050    0
2075237488    2075237488    0
1612887442    1507586340    0
1612887442    1612887442    0
781441114    1275517591    1
781441114    781441114    0
458320574    2040368534    1
458320574    458320574    0
90593919    -872864044    0
90593919    90593919    0
-996196169    -1212995431    0
-996196169    -996196169    0
-480073487    -180258009    1
-480073487    -480073487    0
1596809168    634368854    0
1596809168    1596809168    0
1450957242    -1428421679    0
1450957242    1450957242    0
-619133373    -2025515295    0
-619133373    -619133373    0
-2060829661    -1126108970    1
-2060829661    -2060829661    0
-1555291310    1966911887    1
-1555291310    -1555291310    0
-1903946349    -116091718    1
-1903946349    -1903946349    0
