A[32]          B[32]         C
-448573108    -448573108    0
969314216    -1784483966    1
969314216    969314216    0
1874677550    767619801    1
1874677550    1874677550    0
1771982885    -640509207    1
1771982885    1771982885    0
1588821562    1719686255    0
1588821562    1588821562    0
1439701559    2024499653    0
1439701559    1439701559    0
1106849752    2083981997    0
1106849752    1106849752    0
-734702870    -1147917162    1
-734702870    -734702870    0
-974097654    -1382888236    1
-974097654    -974097654    0
-1597349132    1514335477    0
-1597349132    -1597349132    0
1280130751    877057416    1
1280130751    1280130751    0
113062273    307580725    0
113062273    113062273    0
-561429634    1803467884    0
-561429634    -561429634    0
-651390884    1698570221    0
-651390884    -651390884    0
-1752040481    -1377990116    0
-1752040481    -1752040481    0
2073575095    -457710195    1
2073575095    2073575095    0
1944986759    900056972    1
1944986759    1944986759    0
238241469    1602116782    0
238241469    238241469    0
-1156961373    -741473467    0
-1156961373    -1156961373    0
-1200637205    -2011460614    1
-1200637205    -1200637205    0
-2069838908    -1935576566    0
-2069838908    -2069838908    0
1575497139    883795741    1
1575497139    1575497139    0
-515512595    1601616549    0
-515512595    -515512595    0
-202870521    -1073115193    1
-202870521    -202870521    0
-305766563    604346154    0
-305766563    -305766563    0
658615775    508131569    1
658615775    658615775    0
351901391    -1820166251    1
351901391    351901391    0
2023307140    -85987739    1
2023307140    2023307140    0
-999559333    -257889358    0
-999559333    -999559333    0
-1369451353    -678800822    0
-1369451353    -1369451353    0
-234102859    -994188415    1
-234102859    -234102859    0
1520851734    548728250    1
1520851734    1520851734    0
1023739640    -758740374    1
1023739640    1023739640    0
318607643    1176630804    0
318607643    318607643    0
193625402    1615753263    0
193625402    193625402    0
43037009    1926610262    0
43037009    43037009    0
-74824530    -914953742    1
-74824530    -74824530    0
-216196018    -4761505    0
-216196018    -216196018    0
-2142266959    763021794    0
-2142266959    -2142266959    0
1538012537    -1577979919    1
1538012537    1538012537    0
1252102379    -1277370618    1
1252102379    1252102379    0
-1324101461    536440871    0
-1324101461    -1324101461    0
377342749    903812309    0
377342749    377342749    0
1471929179    -1806018189    1
1471929179    1471929179    0
1914784575    -28254734    1
1914784575    1914784575    0
284217749    5416605    1
284217749    284217749    0
911808077    -573736308    1
911808077    911808077    0
-1510173788    -646114270    0
-1510173788    -1510173788    0
972006345    -629408402    1
972006345    972006345    0
-538791535    -292275667    0
-538791535    -538791535    0
-1566177669    -1335001658    0
-1566177669    -1566177669    0
-1110622582    1009699953    0
-1110622582    -1110622582    0
1404353630    -989113283    1
1404353630    1404353630    0
952761960    1118197507    0
952761960    952761960    0
871576492    1178300450    0
871576492    871576492    0
-1549009600    148590893    0
-1549009600    -1549009600    0
1944086379    -2072995029    1
1944086379    1944086379    0
-735647156    -1130578251    1
-735647156    -735647156    0
718220929    1225367157    0
718220929    718220929    0
-653655949    1702705822    0
-653655949    -653655949    0
-1551080734    545184924    0
-1551080734    -1551080734    0
614319003    491719436    1
614319003    614319003    0
-78600826    -1148138439    1
-78600826    -78600826    0
-348153256    495117599    0
-348153256    -348153256    0
1566551811    1388167697    1
1566551811    1566551811    0
1424231397    -1011020155    1
1424231397    1424231397    0
1143452431    1106896720    1
1143452431    1143452431    0
-217093526    -1472377940    1
-217093526    -217093526    0
984039857    -2124754325    1
984039857    984039857    0
942274499    1104449166    0
942274499    942274499    0
906960542    1085829202    0
906960542    906960542    0
-1609994157    -1425534152    0
-1609994157    -1609994157    0
1727017601    -2006478402    1
1727017601    1727017601    0
1381209071    774165295    1
1381209071    1381209071    0
-643547534    -659334141    1
-643547534    -643547534    0
-893799349    -1978669587    1
-893799349    -893799349    0
-863455364    -1723507938    1
-863455364    -863455364    0
-383662195    -539307469    1
-383662195    -383662195    0
1239728889    7313561    1
1239728889    1239728889    0
2015196592    -845210799    1
2015196592    2015196592    0
-1657456427    -1453458431    0
-1657456427    -1657456427    0
265468408    2038605690    0
265468408    265468408    0
-995900377    787586540    0
-995900377    -995900377    0
949120299    -648313485    1
949120299    949120299    0
86800217    -1374007942    1
86800217    86800217    0
1163334876    1215946945    0
1163334876    1163334876    0
159710604    -711525539    1
159710604    159710604    0
631343128    -1085441270    1
631343128    631343128    0
1343822910    -625848792    1
1343822910    1343822910    0
-1666599416    -1248657059    0
-1666599416    -1666599416    0
-710028536    395704916    0
-710028536    -710028536    0
-1736811302    1274120627    0
-1736811302    -1736811302    0
-747498795    124887164    0
-747498795    -747498795    0
-1568273187    1250127883    0
-1568273187    -1568273187    0
-601598697    2099669051    0
-601598697    -601598697    0
-1403341407    -298524942    0
-1403341407    -1403341407    0
267062280    1910612641    0
267062280    267062280    0
-760801621    595427469    0
-760801621    -760801621    0
637803496    1457946798    0
637803496    637803496    0
641086093    -655839730    1
641086093    641086093    0
1980616071    652324426    1
1980616071    1980616071    0
-630990556    -1349191557    1
-630990556    -630990556    0
315385011    278461972    1
315385011    315385011    0
764275287    -267896960    1
764275287    764275287    0
-495981875    368365158    0
-495981875    -495981875    0
-1122419825    927092926    0
-1122419825    -1122419825    0
473570060    1330322290    0
473570060    473570060    0
1043763051    1913300446    0
1043763051    1043763051    0
-816041119    1374984245    0
-816041119    -816041119    0
1618195304    1302491960    1
1618195304    1618195304    0
41830965    -1223469232    1
41830965    41830965    0
-1519810394    -1915988465    1
-1519810394    -1519810394    0
-740096363    1272844733    0
-740096363    -740096363    0
-1605208339    170827353    0
-1605208339    -1605208339    0
-1212485573    1725982992    0
-1212485573    -1212485573    0
1661997147    829569629    1
1661997147    1661997147    0
-604103633    546044105    0
-604103633    -604103633    0
1176738064    2084706822    0
1176738064    1176738064    0
-136305689    254536450    0
-136305689    -136305689    0
340124186    -1025238108    1
340124186    340124186    0
-119399953    -1476191306    1
-119399953    -119399953    0
1844905107    -1095796184    1
1844905107    1844905107    0
-2086718107    -1121080374    0
-2086718107    -2086718107    0
346730079    -1514559188    1
346730079    346730079    0
1088479848    2067411098    0
1088479848    1088479848    0
1673530629    687311472    1
1673530629    1673530629    0
-2029175787    1679365208    0
-2029175787    -2029175787    0
1748271879    25630657    1
1748271879    1748271879    0
-1914435392    334876897    0
-1914435392    -1914435392    0
287059782    -745266025    1
287059782    287059782    0
-1881229734    -1065143858    0
-1881229734    -1881229734    0
-1676854483    -201917839    0
-1676854483    -1676854483    0
868976184    1221939975    0
868976184    868976184    0
-1141118880    191487809    0
-1141118880    -1141118880    0
-1347700512    -912131210    0
-1347700512    -1347700512    0
872958883    1513898469    0
872958883    872958883    0
-513580154    -244908294    0
-513580154    -513580154    0
-296917972    -1838144822    1
-296917972    -296917972    0
1929336226    839747319    1
1929336226    1929336226    0
1200432883    2049137144    0
1200432883    1200432883    0
642579968    363054563    1
642579968    642579968    0
1360268760    419487535    1
1360268760    1360268760    0
1813057114    1097659196    1
1813057114    1813057114    0
-104301616    603879381    0
-104301616    -104301616    0
-1173227061    953169996    0
-1173227061    -1173227061    0
-789664078    -430603961    0
-789664078    -789664078    0
-462494208    -1598184912    1
-462494208    -462494208    0
800165838    1334468419    0
800165838    800165838    0
-2067961537    1213540165    0
-2067961537    -2067961537    0
-1342724790    997373846    0
-1342724790    -1342724790    0
1545986703    1532039728    1
1545986703    1545986703    0
-820509245    -751843648    0
-820509245    -820509245    0
1485003225    1063105688    1
1485003225    1485003225    0
1027580653    58895921    1
1027580653    1027580653    0
-1371997164    711194092    0
-1371997164    -1371997164    0
375742362    282045930    1
375742362    375742362    0
-1124937305    779746121    0
-1124937305    -1124937305    0
-793886582    1267528258    0
-793886582    -793886582    0
1412922713    -82150658    1
1412922713    1412922713    0
216040152    -1350348117    1
216040152    216040152    0
-134079916    -1995594744    1
-134079916    -134079916    0
994693336    998356888    0
994693336    994693336    0
788362494    -1710862381    1
788362494    788362494    0
-1220168494    1117248508    0
-1220168494    -1220168494    0
-2050704448    552597905    0
-2050704448    -2050704448    0
-1607530199    887577500    0
-1607530199    -1607530199    0
583098865    -1704543729    1
583098865    583098865    0
827429560    1752543992    0
827429560    827429560    0
-1001996609    1167880592    0
-1001996609    -1001996609    0
-576469117    -1136977383    1
-576469117    -576469117    0
528236724    1326196312    0
528236724    528236724    0
158405620    452627592    0
158405620    158405620    0
-958156915    -1638695628    1
-958156915    -958156915    0
1598290189    1923576208    0
1598290189    1598290189    0
1386786945    -926928739    1
1386786945    1386786945    0
631651233    -15619277    1
631651233    631651233    0
1718746703    -180679700    1
1718746703    1718746703    0
-2012608834    -198997481    0
-2012608834    -2012608834    0
480759514    -557818786    1
480759514    480759514    0
721220116    -1713776861    1
721220116    721220116    0
-1673035216    -303187753    0
-1673035216    -1673035216    0
-519232924    742767281    0
-519232924    -519232924    0
-358850139    1047295878    0
-358850139    -358850139    0
1463126542    -348158474    1
1463126542    1463126542    0
1024740173    2073425967    0
1024740173    1024740173    0
-116203949    2074404924    0
-116203949    -116203949    0
-668443632    -1113692279    1
-668443632    -668443632    0
-1560672703    -556626849    0
-1560672703    -1560672703    0
-1999336587    -1217820006    0
-1999336587    -1999336587    0
562743246    -950865950    1
562743246    562743246    0
210093895    -843696886    1
210093895    210093895    0
-2121348581    -467860995    0
-2121348581    -2121348581    0
235419487    1038436209    0
235419487    235419487    0
-1386136491    924454081    0
-1386136491    -1386136491    0
-1974000988    475963546    0
-1974000988    -1974000988    0
-333922708    140746684    0
-333922708    -333922708    0
-966526636    -1263569922    1
-966526636    -966526636    0
1127672707    446014927    1
1127672707    1127672707    0
1686598034    1969562537    0
1686598034    1686598034    0
6639151    946101514    0
6639151    6639151    0
-521817003    -275851135    0
-521817003    -521817003    0
1979834439    -1738622254    1
1979834439    1979834439    0
-1955519097    327900872    0
-1955519097    -1955519097    0
2101196077    -644934758    1
2101196077    2101196077    0
601478482    1707503887    0
601478482    601478482    0
-704434425    295941579    0
-704434425    -704434425    0
1361181717    -1168467628    1
1361181717    1361181717    0
-768224759    1766436566    0
-768224759    -768224759    0
1648849406    79261745    1
1648849406    1648849406    0
-1125874050    956516724    0
-1125874050    -1125874050    0
716324056    -1094710694    1
716324056    716324056    0
777541320    85014675    1
777541320    777541320    0
985617944    -162762301    1
985617944    985617944    0
-884741666    1606634285    0
-884741666    -884741666    0
989602828    1960559288    0
989602828    989602828    0
1056244283    -915785272    1
1056244283    1056244283    0
1660840499    -304642749    1
1660840499    1660840499    0
1787335938    -945283959    1
1787335938    1787335938    0
-1742128211    -204439850    0
-1742128211    -1742128211    0
-547846890    1733737144    0
-547846890    -547846890    0
2122226612    -625149382    1
2122226612    2122226612    0
1367909369    253356407    1
1367909369    1367909369    0
1212927174    29533517    1
1212927174    1212927174    0
-444584302    1837682149    0
-444584302    -444584302    0
-832672558    -760349623    0
-832672558    -832672558    0
-124521181    1398940101    0
-124521181    -124521181    0
2062028607    1424614867    1
2062028607    2062028607    0
-1554000773    -873175183    0
-1554000773    -1554000773    0
2054172848    570780052    1
2054172848    2054172848    0
1385246415    -659182537    1
1385246415    1385246415    0
-1312573519    1830604355    0
-1312573519    -1312573519    0
-1717440633    675238911    0
-1717440633    -1717440633    0
677833659    566532575    1
677833659    677833659    0
-642953508    645617902    0
-642953508    -642953508    0
2097740664    -1530828896    1
2097740664    2097740664    0
343028655    -2018294732    1
343028655    343028655    0
1103062134    1021587766    1
1103062134    1103062134    0
629645345    1824834969    0
629645345    629645345    0
512445578    -183574672    1
512445578    512445578    0
-1372797940    -997145609    0
-1372797940    -1372797940    0
-628646274    1863146705    0
-628646274    -628646274    0
-927134537    2011482261    0
-927134537    -927134537    0
1867148590    1849343821    1
1867148590    1867148590    0
1953705625    -1199090776    1
1953705625    1953705625    0
1330787350    -1390409763    1
1330787350    1330787350    0
15740954    1620607389    0
15740954    15740954    0
-913256011    -534394765    0
-913256011    -913256011    0
-83578828    1719954400    0
-83578828    -83578828    0
679770504    1286921466    0
679770504    679770504    0
1777765947    45586453    1
1777765947    1777765947    0
1197044137    115924066    1
1197044137    1197044137    0
1872694029    1546887449    1
1872694029    1872694029    0
1328049376    146122506    1
1328049376    1328049376    0
1420388809    -56972158    1
1420388809    1420388809    0
-269340599    -350325070    1
-269340599    -269340599    0
-789919457    1520126787    0
-789919457    -789919457    0
-1820178192    -6115273    0
-1820178192    -1820178192    0
1677638602    2091680783    0
1677638602    1677638602    0
-464228984    1029412709    0
-464228984    -464228984    0
-788650030    1344318334    0
-788650030    -788650030    0
82321071    -799872366    1
82321071    82321071    0
-253268556    -1855191939    1
-253268556    -253268556    0
696488895    877907379    0
696488895    696488895    0
-488358403    211661463    0
-488358403    -488358403    0
1615608013    1706044898    0
1615608013    1615608013    0
-910403936    -166504757    0
-910403936    -910403936    0
1215866756    -1469492486    1
1215866756    1215866756    0
936285405    -1722570621    1
936285405    936285405    0
938083970    -1316962032    1
938083970    938083970    0
-1479743084    259353214    0
-1479743084    -1479743084    0
-1950884513    485551173    0
-1950884513    -1950884513    0
-869871752    1936794715    0
-869871752    -869871752    0
1831062594    -1463131484    1
1831062594    1831062594    0
-1123862478    -283541042    0
-1123862478    -1123862478    0
-545139562    -71040546    0
-545139562    -545139562    0
-2006779973    -594770551    0
-2006779973    -2006779973    0
-1202788408    188469061    0
-1202788408    -1202788408    0
2019666898    -579952310    1
2019666898    2019666898    0
-456257919    321985074    0
-456257919    -456257919    0
-2124192635    -34137514    0
-2124192635    -2124192635    0
-1118586933    -502783325    0
-1118586933    -1118586933    0
-433723715    433399825    0
-433723715    -433723715    0
1092718815    -113403620    1
1092718815    1092718815    0
-571526150    -915378169    1
-571526150    -571526150    0
454137737    1685854434    0
454137737    454137737    0
-1472988279    203162472    0
-1472988279    -1472988279    0
-501086242    1204218006    0
-501086242    -501086242    0
1233893678    -291278856    1
1233893678    1233893678    0
1422141299    -91078222    1
1422141299    1422141299    0
-1069191540    -357785389    0
-1069191540    -1069191540    0
1428436567    -850310654    1
1428436567    1428436567    0
-1489252609    1410692925    0
-1489252609    -1489252609    0
2063459052    1252729958    1
2063459052    2063459052    0
852329411    -1608138167    1
852329411    852329411    0
2053331870    -2129229485    1
2053331870    2053331870    0
1102023752    680609694    1
1102023752    1102023752    0
-1383455713    -9952655    0
-1383455713    -1383455713    0
-2057386571    1479214595    0
-2057386571    -2057386571    0
-1066938184    -636503987    0
-1066938184    -1066938184    0
2013129827    -1855696277    1
2013129827    2013129827    0
429271160    2042247962    0
429271160    429271160    0
433312482    327728812    1
433312482    433312482    0
500106792    1963232538    0
500106792    500106792    0
1531042470    116945531    1
1531042470    1531042470    0
-1866610081    -248560831    0
-1866610081    -1866610081    0
-1503476571    -1047573893    0
-1503476571    -1503476571    0
-976424851    -2041602636    1
-976424851    -976424851    0
1244252176    569630443    1
1244252176    1244252176    0
1427787168    -1755685925    1
1427787168    1427787168    0
379288074    -493638078    1
379288074    379288074    0
1891298567    27318061    1
1891298567    1891298567    0
-1471199447    -793211773    0
-1471199447    -1471199447    0
1119332429    -528872944    1
1119332429    1119332429    0
258549755    999248653    0
258549755    258549755    0
-1274398420    510386431    0
-1274398420    -1274398420    0
-1840671027    1777893596    0
-1840671027    -1840671027    0
969889898    479439362    1
969889898    969889898    0
-881294365    -1970374826    1
-881294365    -881294365    0
1048674003    -405854218    1
1048674003    1048674003    0
-377159092    1601830117    0
-377159092    -377159092    0
-1324188150    -1244936646    0
-1324188150    -1324188150    0
-1721030460    -2139043570    1
-1721030460    -1721030460    0
490604865    894528922    0
490604865    490604865    0
-736837726    -463431577    0
-736837726    -736837726    0
843434198    674721541    1
843434198    843434198    0
862873433    -1492384959    1
862873433    862873433    0
413990227    -1724504045    1
413990227    413990227    0
-331956183    -611755711    1
-331956183    -331956183    0
340140860    -1247269660    1
340140860    340140860    0
-1635720516    -2035706131    1
-1635720516    -1635720516    0
1189471456    -1372300203    1
1189471456    1189471456    0
1883790741    1317448128    1
1883790741    1883790741    0
-176480215    -1113685507    1
-176480215    -176480215    0
1326469141    1827269653    0
1326469141    1326469141    0
-1482219799    153433940    0
-1482219799    -1482219799    0
-912577938    -1374486593    1
-912577938    -912577938    0
2026556787    1867047583    1
2026556787    2026556787    0
1450659098    585215042    1
1450659098    1450659098    0
-397188168    -1819139565    1
-397188168    -397188168    0
-1797807203    909310299    0
-1797807203    -1797807203    0
-724049456    -951666255    1
-724049456    -724049456    0
321536642    -501612886    1
321536642    321536642    0
-595791534    -913813385    1
-595791534    -595791534    0
1977153975    -481154442    1
1977153975    1977153975    0
-2109236074    -284778686    0
-2109236074    -2109236074    0
-1898511334    1740238258    0
-1898511334    -1898511334    0
-896735423    -2089173975    1
-896735423    -896735423    0
1456140516    144031543    1
1456140516    1456140516    0
-1978474913    -1726445646    0
-1978474913    -1978474913    0
1746287184    -2076807086    1
1746287184    1746287184    0
554522161    -1095279390    1
554522161    554522161    0
228354997    -203536362    1
228354997    228354997    0
187436233    479207062    0
187436233    187436233    0
-980070781    -1277758658    1
-980070781    -980070781    0
-27919531    138170729    0
-27919531    -27919531    0
501079765    -177349891    1
501079765    501079765    0
1440648331    -2034307490    1
1440648331    1440648331    0
270306662    293369738    0
270306662    270306662    0
-33257400    1437257290    0
-33257400    -33257400    0
-37225037    -231260407    1
-37225037    -37225037    0
175349088    -1040673484    1
175349088    175349088    0
-1766193794    -1576872694    0
-1766193794    -1766193794    0
-728105146    -2019558438    1
-728105146    -728105146    0
-394723162    -1137938862    1
-394723162    -394723162    0
-494751755    1938926702    0
-494751755    -494751755    0
-516975463    226124654    0
-516975463    -516975463    0
652378053    -1693748960    1
652378053    652378053    0
175495327    -856917745    1
175495327    175495327    0
-1903109102    465209769    0
-1903109102    -1903109102    0
1370548307    -440791907    1
1370548307    1370548307    0
-2032725233    -774632688    0
-2032725233    -2032725233    0
-1233048131    119789742    0
-1233048131    -1233048131    0
-2106286511    -691255490    0
-2106286511    -2106286511    0
-1593014150    -349453289    0
-1593014150    -1593014150    0
1428273247    182927276    1
1428273247    1428273247    0
2011797389    -1155365287    1
2011797389    2011797389    0
1356741976    502841389    1
1356741976    1356741976    0
894397726    -1147264478    1
894397726    894397726    0
-170858402    598768940    0
-170858402    -170858402    0
-1025010834    -424129014    0
-1025010834    -1025010834    0
-326566922    821147809    0
-326566922    -326566922    0
-1902864330    1865260667    0
-1902864330    -1902864330    0
1230218165    711628755    1
1230218165    1230218165    0
41361879    501446912    0
41361879    41361879    0
-606870865    1774501985    0
-606870865    -606870865    0
512969882    819594819    0
512969882    512969882    0
1943392406    -85504035    1
1943392406    1943392406    0
210944748    1280197045    0
210944748    210944748    0
-544437298    -67477708    0
-544437298    -544437298    0
-417534386    -902969485    1
-417534386    -417534386    0
-545829492    -113288323    0
-545829492    -545829492    0
2091616796    -126116713    1
2091616796    2091616796    0
-496353260    -1984816145    1
-496353260    -496353260    0
-233626360    667167419    0
-233626360    -233626360    0
108113105    -1436474013    1
108113105    108113105    0
-1160547737    1694914436    0
-1160547737    -1160547737    0
603039856    -1596692404    1
603039856    603039856    0
921564636    -999322512    1
921564636    921564636    0
867397233    247754024    1
867397233    867397233    0
60146790    -350512656    1
60146790    60146790    0
1258208996    570284322    1
1258208996    1258208996    0
240507516    552308776    0
240507516    240507516    0
-2077971479    1154308131    0
-2077971479    -2077971479    0
1735784122    -1890494045    1
1735784122    1735784122    0
-775210218    1058646261    0
-775210218    -775210218    0
1633041831    1384183800    1
1633041831    1633041831    0
-1703703807    832354527    0
-1703703807    -1703703807    0
1021595645    -488759253    1
1021595645    1021595645    0
-118298011    1540458197    0
-118298011    -118298011    0
-24477492    -1693207684    1
-24477492    -24477492    0
766471650    465184489    1
766471650    766471650    0
1017626040    -218484857    1
1017626040    1017626040    0
1646441655    -1691832110    1
1646441655    1646441655    0
-2122782294    -1094924608    0
-2122782294    -2122782294    0
17467082    -1205248103    1
17467082    17467082    0
-2002320187    2022832397    0
-2002320187    -2002320187    0
-171638601    -1169082823    1
-171638601    -171638601    0
-381969588    -199506295    0
-381969588    -381969588    0
2023260004    1471762642    1
2023260004    2023260004    0
1554843734    -904450075    1
1554843734    1554843734    0
-1501023717    -1739454586    1
-1501023717    -1501023717    0
645273545    -671158708    1
645273545    645273545    0
1411660960    1094769359    1
1411660960    1411660960    0
216980341    -1175611157    1
216980341    216980341    0
-488492987    1202321804    0
-488492987    -488492987    0
360498322    -1876156031    1
360498322    360498322    0
1285355271    -602717232    1
1285355271    1285355271    0
1714163546    892328168    1
1714163546    1714163546    0
1625955865    1541199695    1
1625955865    1625955865    0
-336678173    -120209546    0
-336678173    -336678173    0
-103076381    -59544678    0
-103076381    -103076381    0
-155487679    -2059234621    1
-155487679    -155487679    0
251661530    -1426093824    1
251661530    251661530    0
112900682    -33490356    1
112900682    112900682    0
1673173164    759201003    1
1673173164    1673173164    0
-709559846    452014749    0
-709559846    -709559846    0
927562731    1750179027    0
927562731    927562731    0
-460314444    719274897    0
-460314444    -460314444    0
-2082630080    1364624866    0
-2082630080    -2082630080    0
1879127257    2118778085    0
1879127257    1879127257    0
1836760438    -568570293    1
1836760438    1836760438    0
1131587381    90755783    1
1131587381    1131587381    0
1390564088    497192280    1
1390564088    1390564088    0
53526956    -1440041656    1
53526956    53526956    0
-148026953    -2018077092    1
-148026953    -148026953    0
153705638    1269905562    0
153705638    153705638    0
-975097393    -1959894208    1
-975097393    -975097393    0
-930129457    -834207607    0
-930129457    -930129457    0
-1695024064    -1662882706    0
-1695024064    -1695024064    0
-437764320    340148612    0
-437764320    -437764320    0
-910494257    -1558481782    1
-910494257    -910494257    0
-1454797646    1142531985    0
-1454797646    -1454797646    0
-1539482770    -453270089    0
-1539482770    -1539482770    0
1784765879    -1567774881    1
1784765879    1784765879    0
-1164669713    -1292655393    1
-1164669713    -1164669713    0
-1684283056    -349448695    0
-1684283056    -1684283056    0
-1718331385    1599033604    0
-1718331385    -1718331385    0
866938395    1926284718    0
866938395    866938395    0
1593431828    482893522    1
1593431828    1593431828    0
1777332168    2028472889    0
1777332168    1777332168    0
-366206704    2129333172    0
-366206704    -366206704    0
233691958    1969818890    0
233691958    233691958    0
-1942681393    -120301058    0
-1942681393    -1942681393    0
-533035753    1149999666    0
-533035753    -533035753    0
2143949498    -1926499787    1
2143949498    2143949498    0
1005230263    1433217038    0
1005230263    1005230263    0
2048993573    930315004    1
2048993573    2048993573    0
-1108474196    -1287774313    1
-1108474196    -1108474196    0
-291466398    834853126    0
-291466398    -291466398    0
714268427    965659189    0
714268427    714268427    0
-568706884    -420150662    0
-568706884    -568706884    0
-1591557256    2073640803    0
-1591557256    -1591557256    0
1490105050    787559923    1
1490105050    1490105050    0
1378172404    1806633729    0
1378172404    1378172404    0
1987752299    -2003230167    1
1987752299    1987752299    0
-80515341    1367126450    0
-80515341    -80515341    0
-1143187080    1785394236    0
-1143187080    -1143187080    0
-97127371    971955251    0
-97127371    -97127371    0
1512523410    -987978164    1
1512523410    1512523410    0
1044962278    -1278971582    1
1044962278    1044962278    0
